geo,siec,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
PT,G3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,8108.5,22626.0,23653.25,26226.5,31742.25,30660.0,38419.0,43620.5,42328.5,44291.25,48131.0,49046.25,52201.5,51912.25,45736.5,43680.75,40395.0,47111.758,50274.668,62981.051,58655.555,61670.024,60523.117,57833.05,56033.418,44415.641,36731.703
RO,G3000,335391.25,276765.75,246495.25,236971.75,215841.0,223762.5,225837.0,185365.25,174271.5,159691.75,159097.0,153281.25,158502.25,171302.25,162091.0,161926.75,165130.5,148422.0,141414.5,123049.5,125469.0,129151.75,125341.0,114427.0,108731.25,103708.25,104946.109,112902.687,115629.876,107749.801,112625.53,115671.019,97102.952,91161.271,94485.334
RS,G3000,30096.0,29104.25,26267.5,16371.25,13666.25,15692.75,22629.25,25010.25,23297.5,16850.0,17829.25,20128.75,20244.0,21169.5,26885.75,22642.75,23163.0,23389.75,23281.0,16224.25,21554.75,22127.25,19513.5,21708.0,18712.112,20356.622,21996.632,24622.984,24793.795,23181.56,23137.544,27848.537,26927.001,26212.614,26507.451
SE,G3000,6710.0,7168.75,8091.5,8830.75,8766.75,8775.5,9403.25,9288.75,9206.5,9226.25,9023.0,10180.0,10359.75,10330.5,10285.5,9799.75,10256.0,10589.5,9612.5,12671.0,17048.75,13475.0,11706.75,11110.0,9234.75,8415.5,9516.102,10694.902,11637.25,10962.319,14572.072,11705.524,7319.231,8355.872,8842.414
SI,G3000,8870.5,8441.5,7159.0,7149.0,7324.25,8674.0,8473.75,9244.25,9529.0,9929.0,9601.5,9884.75,9534.5,10545.25,10452.25,10802.25,10458.25,10632.0,10219.25,9670.75,10034.75,8578.5,8258.25,8046.25,7280.5,7726.0,8199.75,8590.405,8428.469,8555.198,8554.384,9015.367,7949.617,7669.057,8305.587
SK,G3000,59173.0,52629.0,57888.5,57326.5,54733.75,60676.0,63946.25,64890.5,65936.75,66734.75,67179.75,71738.0,68237.25,65927.0,63946.5,68426.75,62544.75,59189.0,60084.25,51455.0,58224.75,53929.0,50768.75,53010.0,43872.25,45118.0,45302.75,48109.447,47416.214,47522.778,47546.384,52928.769,44098.712,41981.421,43458.261
UK,G3000,548975.5,591730.75,589800.25,671962.75,700335.25,757339.25,883439.25,886439.0,923171.5,979212.25,1016454.25,1007736.25,998497.0,998805.25,1020550.5,994048.75,942755.25,953239.75,987379.5,908324.0,986426.75,818091.0,772061.75,765065.75,697099.699,712296.486,801945.266,782416.886,791712.775,777276.973,,,,,
XK,G3000,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AL,O4000XBIO,14125.623,9454.867,6756.826,6920.924,8071.747,7181.779,6978.769,5564.129,6754.035,12256.902,12569.458,13319.128,15309.439,15295.402,17093.024,17477.565,16384.402,15412.348,15806.456,14878.104,14525.456,14407.631,12674.986,14795.976,15615.588,13986.333,14398.488,15323.102,13420.037,14270.557,12360.879,11970.883,12249.56,11886.816,
AT,O4000XBIO,125675.516,134746.796,131803.437,134503.339,132534.663,133302.066,145324.903,144606.303,152615.594,145272.989,143325.647,152757.512,155227.802,164860.932,165200.202,167897.439,167225.651,160484.368,155991.722,146894.634,151409.112,142204.771,139204.403,142384.527,138300.436,139693.266,142618.534,142904.34,145146.287,149748.265,129288.399,137105.662,132517.946,132351.639,129100.532
