country,status,forest_type,region,mgmt_type,mgmt_strategy,species group,age_class,volume,stem_biomass,bark_biomass,branches_biomass,foliage_biomass,foliage/stem ratio,total_agb,bcef
AT,ForAWS,FS,AT12,HP,E,broad,AgeCL_18,482.5,238.8375152,0.115981359,0.301686246,0.020796323,0%,239.2759791,0.50
AT,ForAWS,FS,AT12,HP,E,broad,AgeCL_19,483.4,239.2510154,0.115905279,0.301611916,0.020753471,0%,239.6892861,0.50
AT,ForAWS,FS,AT12,HP,E,broad,AgeCL_20,483.9,239.4807139,0.115863035,0.30157057,0.0207297,0%,239.9188772,0.50
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_1,7.6,5.06747613,0.167388671,0.227287319,0.050186616,1%,5.512338736,0.73
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_2,15.2,9.643123734,0.165730462,0.247770137,0.05155737,1%,10.1081817,0.67
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_3,38.8,23.01429255,0.161962923,0.276417423,0.051768437,0%,23.50444133,0.61
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_4,66.5,37.94851928,0.158227542,0.292109715,0.050140293,0%,38.44899683,0.58
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_5,93,51.80867535,0.154916302,0.300806828,0.048060573,0%,52.31245905,0.56
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_6,115.4,63.29933626,0.152238621,0.305648697,0.046164897,0%,63.80338848,0.55
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_7,133.3,72.36509665,0.150159821,0.308434965,0.044621299,0%,72.86831274,0.55
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_8,146.9,79.19410084,0.148611412,0.310066578,0.043447785,0%,79.69622662,0.54
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_9,156.9,84.1862891,0.147488432,0.31104542,0.042589084,0%,84.68741204,0.54
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_10,164.2,87.81610404,0.146676502,0.311656254,0.041965824,0%,88.31640262,0.54
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_11,169.5,90.44417067,0.146091011,0.312049622,0.041515646,0%,90.94382695,0.54
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_12,173.2,92.27535473,0.145684211,0.312300763,0.041202662,0%,92.77454237,0.54
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_13,175.8,93.56045055,0.14539929,0.312466184,0.040983404,0%,94.05929943,0.54
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_14,177.7,94.49869565,0.145191562,0.312581468,0.040823544,0%,94.99729222,0.53
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_15,179,95.14023766,0.145049665,0.312657679,0.04071435,0%,95.63865935,0.53
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_16,179.9,95.58418614,0.14495154,0.312709188,0.040638843,0%,96.08248571,0.53
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_17,180.5,95.8800632,0.144886173,0.312742965,0.040588545,0%,96.37828088,0.53
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_18,180.9,96.07727535,0.144842617,0.312765234,0.040555032,0%,96.57543823,0.53
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_19,181.3,96.27445621,0.144799079,0.312787305,0.040521533,0%,96.77256413,0.53
AT,ForAWS,FS,AT12,HS,E,broad,AgeCL_20,181.5,96.37303493,0.144777317,0.312798267,0.040504789,0%,96.8711153,0.53
AT,ForAWS,FS,AT21,HP,E,broad,AgeCL_1,20.2,12.55630219,0.164832767,0.256436197,0.051892945,0%,13.0294641,0.65
