country,status,forest_type,region,mgmt_type,mgmt_strategy,con_broad,AgeCL_1,AgeCL_2,AgeCL_3,AgeCL_4,AgeCL_5,AgeCL_6,AgeCL_7,AgeCL_8,AgeCL_9,AgeCL_10,AgeCL_11,AgeCL_12,AgeCL_13,AgeCL_14,AgeCL_15,AgeCL_16,AgeCL_17,AgeCL_18,AgeCL_19,AgeCL_20
AT,ForNAWS,OH,AT22,HNP,E,broad,1.9,3.3,3.7,3.7,3.6,3.3,3,2.7,2.4,2.1,1.8,1.6,1.4,1.2,1,0.9,-,-,-,-
AT,ForNAWS,OH,AT31,HNP,E,broad,0.4,4.9,12,15.6,15,12.3,9.2,6.6,4.5,3,2,1.3,0.9,0.6,0.4,0.2,-,-,-,-
AT,ForNAWS,OH,AT32,HNP,E,broad,0.7,4.3,8.3,10.9,11.8,11.4,10.4,9,7.6,6.2,5,4,3.2,2.5,2,1.5,-,-,-,-
AT,ForNAWS,OH,AT33,HNP,E,broad,0.3,2.3,5,6.5,6.4,5.6,4.5,3.4,2.5,1.8,1.3,0.9,0.6,0.4,0.3,0.2,-,-,-,-
AT,ForNAWS,OS,AT21,HNP,E,broad,0.6,2.5,4.4,5.9,6.7,7,6.9,6.6,6.1,5.5,4.9,4.3,3.8,3.3,2.8,2.4,-,-,-,-
AT,ForNAWS,OS,AT22,HNP,E,broad,0.4,1.5,2.5,3.3,3.8,4.1,4.2,4.1,4,3.8,3.5,3.2,3,2.7,2.4,2.2,-,-,-,-
AT,ForNAWS,OS,AT33,HNP,E,broad,4.4,9.9,10.5,9.1,7.1,5.3,3.8,2.7,1.9,1.3,0.9,0.6,0.4,0.3,0.2,0.1,-,-,-,-
AT,ForNAWS,PA,AT12,HNP,E,con,4.2,9.9,12.6,13.5,13.3,12.5,11.4,10.2,8.9,7.8,6.7,5.7,4.9,4.1,3.5,2.9,-,-,-,-
AT,ForNAWS,PA,AT21,HNP,E,con,4.1,13.3,18.7,20.1,19.1,16.8,14.2,11.7,9.4,7.4,5.8,4.5,3.5,2.7,2.1,1.6,-,-,-,-
AT,ForNAWS,PA,AT22,HNP,E,con,2.6,5.1,6.3,7,7.3,7.4,7.2,7,6.7,6.4,6,5.6,5.2,4.9,4.5,4.2,-,-,-,-
AT,ForNAWS,PA,AT31,HNP,E,con,1,5.5,10.7,14.5,16.5,16.9,16.1,14.8,13.1,11.4,9.7,8.1,6.8,5.6,4.6,3.8,-,-,-,-
AT,ForNAWS,PA,AT32,HNP,E,con,1.6,14.6,28.2,30.4,25.2,18.2,12.2,7.8,4.9,3,1.9,1.1,0.7,0.4,0.3,0.2,-,-,-,-
AT,ForNAWS,PA,AT33,HNP,E,con,1.2,5,8.5,10.5,11.2,10.9,10.1,8.9,7.7,6.5,5.5,4.5,3.7,3,2.4,2,-,-,-,-
AT,ForNAWS,PA,AT34,HNP,E,con,1,5.5,10.7,14.5,16.5,16.9,16.1,14.8,13.1,11.4,9.7,8.1,6.8,5.6,4.6,3.8,-,-,-,-
AT,ForNAWS,PC,AT22,HNP,E,con,3.8,7.3,8.4,8.4,7.7,6.9,6,5.1,4.3,3.6,3,2.5,2,1.6,1.4,1.1,-,-,-,-
AT,ForNAWS,PC,AT33,HNP,E,con,1.3,3.5,4.8,5.3,5.5,5.3,4.9,4.5,4,3.5,3.1,2.7,2.3,2,1.7,1.5,-,-,-,-
AT,ForNAWS,PN,AT12,HNP,E,con,1.5,3.9,4.9,5,4.6,4,3.3,2.7,2.2,1.7,1.3,1,0.8,0.6,0.5,0.4,-,-,-,-
AT,ForNAWS,PS,AT12,HNP,E,con,0.1,1.4,3.7,6.1,7.9,8.8,8.9,8.5,7.8,6.9,6,5.1,4.3,3.5,2.9,2.4,-,-,-,-
AT,ForNAWS,PS,AT33,HNP,E,con,0.7,3,4.9,5.9,5.9,5.4,4.7,4,3.2,2.6,2,1.6,1.2,0.9,0.7,0.6,-,-,-,-
BE,?,DF,BE20,H,E,con,5.7,20.8,28.8,29.3,25.9,21.1,16.4,12.4,9.2,6.7,4.8,3.5,2.5,1.8,1.3,0.9,0.6,0.5,0.3,0.2
BE,?,DF,BE30,H,E,con,5.7,20.8,28.8,29.3,25.9,21.1,16.4,12.4,9.2,6.7,4.8,3.5,2.5,1.8,1.3,0.9,0.6,0.5,0.3,0.2
BE,?,LD,BE20,H,E,con,0.7,3.6,6.8,9.2,10.4,10.8,10.4,9.7,8.7,7.7,6.7,5.7,4.8,4,3.4,2.8,2.3,1.9,1.6,1.3
BE,?,LD,BE30,H,E,con,0.7,3.6,6.8,9.2,10.4,10.8,10.4,9.7,8.7,7.7,6.7,5.7,4.8,4,3.4,2.8,2.3,1.9,1.6,1.3
